Nr probki	Sygnal pomiarowy
399	2,28271484
400	2,27050781
401	2,28515625
402	2,27294922
403	2,23388672
404	2,23388672
405	2,18261719
406	2,20458984
407	2,20458984
408	2,19482422
409	2,16064453
410	2,15576172
411	2,16552734
412	2,13134766
413	2,1484375
414	2,19482422
415	2,20703125
416	2,15820313
417	2,15087891
418	2,15332031
419	2,13867188
420	2,13867188
421	2,12402344
422	2,14111328
423	2,12158203
424	2,06542969
425	2,05810547
426	2,06298828
427	2,06054688
428	1,97509766
429	1,97021484
430	1,93847656
431	1,953125
432	1,96533203
433	1,90429688
434	1,85058594
435	1,85058594
436	1,79931641
437	1,8359375
438	1,91650391
439	1,90429688
440	1,87744141
441	1,90185547
442	1,73583984
443	1,79443359
444	1,90429688
445	1,9140625
446	1,93115234
447	1,87255859
448	1,83837891
449	1,90673828
450	1,82617188
451	1,78710938
452	1,76025391
453	1,78955078
454	1,75292969
455	1,77246094
456	1,63085938
457	1,47949219
458	1,39160156
459	1,32080078
460	1,26708984
461	1,23046875
462	1,26953125
463	1,34521484
464	1,40625
465	1,43554688
466	1,44775391
467	1,44287109
468	1,42333984
469	1,37695313
470	1,38671875
471	1,70166016
472	1,86767578
473	1,82617188
474	1,84326172
475	1,84082031
476	1,75292969
477	1,56738281
478	1,65039063
479	1,74072266
480	1,796875
481	1,81152344
482	1,80664063
483	1,79443359
484	1,85058594
485	1,87011719
486	1,87255859
487	1,86279297
488	1,91650391
489	1,92138672
490	1,90185547
491	1,92138672
492	1,93115234
493	1,94580078
494	1,94824219
495	1,94335938
496	1,953125
497	1,96044922
498	1,95800781
499	1,90917969
500	1,90185547
501	1,93359375
502	1,91162109
503	1,90673828
504	1,93115234
505	1,87744141
506	1,87744141
507	1,92626953
508	1,94335938
509	1,875
510	1,88964844
511	1,88476563
512	1,88964844
513	1,91650391
514	1,87011719
515	1,84326172
516	1,92138672
517	1,96777344
518	1,94824219
519	1,93115234
520	1,94580078
521	1,95068359
522	1,97753906
523	1,96533203
524	1,97265625
525	1,97753906
526	1,96533203
527	1,95800781
528	1,98974609
529	2,00439453
530	2,00195313
531	1,97998047
532	1,97509766
533	1,99951172
534	2,01660156
535	2,02392578
536	2,01660156
537	2,02880859
538	2,02392578
539	2,04101563
540	2,03857422
541	2,04101563
542	2,05078125
543	2,06787109
544	2,08007813
545	2,06542969
546	2,03857422
547	2,05566406
548	2,05566406
549	2,06787109
550	2,09716797
551	2,07275391
552	2,06298828
553	2,08007813
554	2,10449219
555	2,08007813
556	2,08984375
557	2,06787109
558	2,05810547
559	2,05078125
560	2,03613281
561	2,07275391
